"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","should allow me to mark items as complete","chromium","Fri Aug 22 01:39:11 UTC 2025","passed","Fri Aug 22 01:39:12 UTC 2025","Item","demo-todo-app.spec.js","",""
"","256","should allow me to mark all items as completed","chromium","Fri Aug 22 01:39:10 UTC 2025","passed","Fri Aug 22 01:39:11 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","353","should respect the back button","chromium","Fri Aug 22 01:39:15 UTC 2025","passed","Fri Aug 22 01:39:16 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","298","should allow me to un-mark items as complete","chromium","Fri Aug 22 01:39:12 UTC 2025","passed","Fri Aug 22 01:39:12 UTC 2025","Item","demo-todo-app.spec.js","",""
"","292","should display the correct text","chromium","Fri Aug 22 01:39:14 UTC 2025","passed","Fri Aug 22 01:39:14 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","3907","Login demo test 1","chromium","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:10 UTC 2025","","login_demo.spec.js","",""
"","275","should remove the item if an empty text string was entered","chromium","Fri Aug 22 01:39:13 UTC 2025","passed","Fri Aug 22 01:39:13 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","313","focus this test","webkit","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:06 UTC 2025","","AnnotationsAndTags.spec.js","",""
"","276","should remove completed items when clicked","chromium","Fri Aug 22 01:39:14 UTC 2025","passed","Fri Aug 22 01:39:14 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","276","should persist its data","chromium","Fri Aug 22 01:39:15 UTC 2025","passed","Fri Aug 22 01:39:15 UTC 2025","Persistence","demo-todo-app.spec.js","",""
"","264","should trim entered text","chromium","Fri Aug 22 01:39:13 UTC 2025","passed","Fri Aug 22 01:39:13 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","385","should allow me to display active items","chromium","Fri Aug 22 01:39:15 UTC 2025","passed","Fri Aug 22 01:39:15 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","295","should highlight the currently applied filter","chromium","Fri Aug 22 01:39:17 UTC 2025","passed","Fri Aug 22 01:39:17 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","271","should hide other controls when editing","chromium","Fri Aug 22 01:39:12 UTC 2025","passed","Fri Aug 22 01:39:13 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","262","should cancel edits on escape","chromium","Fri Aug 22 01:39:13 UTC 2025","passed","Fri Aug 22 01:39:14 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","290","should allow me to edit an item","chromium","Fri Aug 22 01:39:12 UTC 2025","passed","Fri Aug 22 01:39:12 UTC 2025","Item","demo-todo-app.spec.js","",""
"","2236","Login demo test 1","webkit","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:08 UTC 2025","","login_demo.spec.js","",""
"","814","focus this test","firefox","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:07 UTC 2025","","AnnotationsAndTags.spec.js","",""
"","234","should append new items to the bottom of the list","chromium","Fri Aug 22 01:39:10 UTC 2025","passed","Fri Aug 22 01:39:10 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","394","should allow me to display all items","chromium","Fri Aug 22 01:39:16 UTC 2025","passed","Fri Aug 22 01:39:17 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","220","should clear text input field when an item is added","chromium","Fri Aug 22 01:39:10 UTC 2025","passed","Fri Aug 22 01:39:10 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","276","should be hidden when there are no items that are completed","chromium","Fri Aug 22 01:39:14 UTC 2025","passed","Fri Aug 22 01:39:15 UTC 2025","Clear completed button","demo-todo-app.spec.js","",""
"","350","should allow me to display completed items","chromium","Fri Aug 22 01:39:16 UTC 2025","passed","Fri Aug 22 01:39:16 UTC 2025","Routing","demo-todo-app.spec.js","",""
"","361","complete all checkbox should update state when items are completed / cleared","chromium","Fri Aug 22 01:39:11 UTC 2025","passed","Fri Aug 22 01:39:11 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","309","should allow me to clear the complete state of all items","chromium","Fri Aug 22 01:39:11 UTC 2025","passed","Fri Aug 22 01:39:11 UTC 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","144","focus this test","chromium","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:06 UTC 2025","","AnnotationsAndTags.spec.js","",""
"","285","should save edits on blur","chromium","Fri Aug 22 01:39:13 UTC 2025","passed","Fri Aug 22 01:39:13 UTC 2025","Editing","demo-todo-app.spec.js","",""
"","205","should display the current number of todo items","chromium","Fri Aug 22 01:39:14 UTC 2025","passed","Fri Aug 22 01:39:14 UTC 2025","Counter","demo-todo-app.spec.js","",""
"","448","should allow me to add todo items","chromium","Fri Aug 22 01:39:09 UTC 2025","passed","Fri Aug 22 01:39:10 UTC 2025","New Todo","demo-todo-app.spec.js","",""
"","5243","Login demo test 1","firefox","Tue Mar 25 10:08:06 UTC 2025","passed","Tue Mar 25 10:08:11 UTC 2025","","login_demo.spec.js","",""
